"ID_RECEITA","ANO_ORCAMENTARIO","CODIGO_ORCAMENTARIO","CODIGO_CATEGORIA","CATEGORIA","CODIGO_ORIGEM","ORIGEM","CODIGO_ESPECIE","ESPECIE","CODIGO_RUBRICA","RUBRICA","DESCRICAO","EXTRA","DATA_LANCAMENTO","ULTIMA_ATUALIZACAO","VALOR_RECEITA","UNIDADE_GESTORA_ID","NOME_UNIDADE_GESTORA"
"11625","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/01/21","25/01/21","913","1","Prefeitura Municipal de Belo Jardim"
"11626","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/01/21","25/01/21","1150","1","Prefeitura Municipal de Belo Jardim"
"11627","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/01/21","25/01/21","1319","1","Prefeitura Municipal de Belo Jardim"
"11736","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/02/21","25/02/21","76496","1","Prefeitura Municipal de Belo Jardim"
"11737","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/02/21","25/02/21","96329","1","Prefeitura Municipal de Belo Jardim"
"11738","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/02/21","25/02/21","110495","1","Prefeitura Municipal de Belo Jardim"
"11846","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/03/21","25/03/21","114102","1","Prefeitura Municipal de Belo Jardim"
"11847","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/03/21","25/03/21","143685","1","Prefeitura Municipal de Belo Jardim"
"11848","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/03/21","25/03/21","164815","1","Prefeitura Municipal de Belo Jardim"
"11968","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/04/21","25/04/21","66458","1","Prefeitura Municipal de Belo Jardim"
"11969","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/04/21","25/04/21","83688","1","Prefeitura Municipal de Belo Jardim"
"11970","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/04/21","25/04/21","95995","1","Prefeitura Municipal de Belo Jardim"
"12102","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/05/21","25/05/21","167561","1","Prefeitura Municipal de Belo Jardim"
"12103","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/05/21","25/05/21","211003","1","Prefeitura Municipal de Belo Jardim"
"12104","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/05/21","25/05/21","242033","1","Prefeitura Municipal de Belo Jardim"
"12105","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/05/21","25/05/21","22871","1","Prefeitura Municipal de Belo Jardim"
"12106","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/05/21","25/05/21","28800","1","Prefeitura Municipal de Belo Jardim"
"12107","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/05/21","25/05/21","33036","1","Prefeitura Municipal de Belo Jardim"
"12396","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/06/21","25/06/21","79390","1","Prefeitura Municipal de Belo Jardim"
"12397","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/06/21","25/06/21","99973","1","Prefeitura Municipal de Belo Jardim"
"12398","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/06/21","25/06/21","114675","1","Prefeitura Municipal de Belo Jardim"
"12513","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/07/21","25/07/21","105370","1","Prefeitura Municipal de Belo Jardim"
"12514","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/07/21","25/07/21","132688","1","Prefeitura Municipal de Belo Jardim"
"12515","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/07/21","25/07/21","152201","1","Prefeitura Municipal de Belo Jardim"
"12516","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/07/21","25/07/21","179","1","Prefeitura Municipal de Belo Jardim"
"12517","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/07/21","25/07/21","226","1","Prefeitura Municipal de Belo Jardim"
"12518","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/07/21","25/07/21","259","1","Prefeitura Municipal de Belo Jardim"
"12673","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/08/21","25/08/21","117710","1","Prefeitura Municipal de Belo Jardim"
"12674","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/08/21","25/08/21","148228","1","Prefeitura Municipal de Belo Jardim"
"12675","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/08/21","25/08/21","170026","1","Prefeitura Municipal de Belo Jardim"
"13032","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/09/21","25/09/21","68043","1","Prefeitura Municipal de Belo Jardim"
"13033","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/09/21","25/09/21","85684","1","Prefeitura Municipal de Belo Jardim"
"13034","2021","11130311000","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1113","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","N","25/09/21","25/09/21","98284","1","Prefeitura Municipal de Belo Jardim"
